Query,Site Clicks,% Δ,Site Impressions,% Δ,Site CTR,% Δ,Average Position,% Δ
เติมเกม,19307,3.1201451131028595,546225,0.1328567339878797,0.03534624010252185,2.6369516016373344,2.2256304636367794,-0.1905635397725607
ช้อปปิ้ง,5481,0.1807410598879793,21460,0.34049597101630336,0.2554054054054054,-0.11917597261199164,1.0239049394221809,-0.004270794848153663
ช้อปปี้,4454,0.20378378378378378,9993,0.5435588507877664,0.4457119983988792,-0.22012446550423134,1.0976683678575003,0.06493406466498679
ชอปปี้,3323,0.07262750161394448,8784,0.5918811163465023,0.3783014571948998,-0.32618868921838046,1.0258424408014573,-0.0004240529149848832
หนังโป๊,2019,0.010510510510510511,32241,-0.052404185280978136,0.06262212710523866,0.06639402033465479,1.1463354114326478,-0.1725801680473416
ช็อปปี้,1878,-0.03494347379239465,5443,0.5332394366197183,0.34503031416498253,-0.3705767650124933,1.0417049421275033,0.01818627327991094
xnx,1238,0.661744966442953,38342,0.8699765899336714,0.03228835219863335,-0.11135520338150563,2.3180585258984925,-0.28792664926255934
ช๊อปปี้,1215,0.19351669941060903,3521,0.7456618740704016,0.3450724226072139,-0.3162956027517187,1.0815109343936382,0.018873215633801236
หน้ากากอนามัย,1036,0.6062015503875969,19912,0.4839767476524072,0.05202892728003214,0.08236301743173842,1.1022498995580554,0.0871794437128777
หนังโป้,1036,0.026759167492566897,14896,-0.00013424620754463686,0.06954887218045112,0.026897024523647943,1.314111170784103,-0.01782831373393028
โทรศัพท์,1026,0.03951367781155015,53222,0.13736803863743216,0.019277742287024162,-0.08603579272643502,1.011686896396227,0.0020293497717228663
จักรยานไฟฟ้า,1010,0.14642451759364358,16390,0.0891812865497076,0.06162294081757169,0.0525562013879896,1.9090909090909092,-0.010368941403424111
เครื่องวัดอุณหภูมิ,942,0.42727272727272725,12656,0.49917081260364843,0.07443109987357775,-0.04795856798069178,1.0080594184576486,0.0044898029531952365
กรุ่นรักกลิ่นบุปผา,882,0.08754623921085081,9740,-0.03726401107047544,0.09055441478439424,0.12964120144724614,2.19394250513347,0.020370354637765684
ตั้งชื่อแมว,868,0.5868372943327239,3067,0.2742002492729539,0.2830127160091294,0.24535942858130624,1.9983697424193023,0.007556759531474813
แอลกอฮอล์,853,0.6435452793834296,26949,0.3078864353312303,0.03165238042227912,0.25664219383634157,1.1184459534676612,-0.3284500722323875
ชื่อแมวน่ารักๆ,841,0.8008565310492506,3500,0.19494708091498805,0.2402857142857143,0.5070596512695015,2.5034285714285716,0.12341692748801684
ฝันว่าตัดผมสั้น,841,-0.22631094756209752,5848,-0.12310691258059679,0.14380984952120382,-0.1176928367461745,2.758207934336525,0.11360265855977028
สวดมนต์ก่อนนอน,834,-0.2991596638655462,27719,0.11833292987977084,0.03008766550019842,-0.3733169100101529,8.552869872650529,0.2025290017670858
พัดลมไอเย็น,825,0.10738255033557047,12937,0.26585127201565556,0.06377058050552678,-0.12518747279666614,1.1733786813016929,-0.13999353679695198
ps5,791,-0.038882138517618466,12232,0.5001226391954868,0.06466644865925442,-0.35930714171620837,4.748855461085677,0.7784488784132919
กล้องวงจรปิด,784,0.7422222222222222,16619,0.1832680669277323,0.04717492027197786,0.472381678266509,2.2104218063662073,-0.15722305642659867
เยลลี่ลูกตา,783,0.7556053811659192,23709,0.4556114931237721,0.03302543337972922,0.2060947508722636,1.959551225273103,-0.09927556491468034
เซิร์ฟสเก็ต,769,0.05486968449931413,21264,0.033537474482356375,0.036164409330323555,0.020639996655798114,2.8235985703536493,-0.04639411371729701
แอร์เคลื่อนที่,767,0.18364197530864199,13258,0.2840677966101695,0.057851863026097454,-0.07820912693756762,2.0009051138934986,-0.00460875447119383
ใส่แหวนนิ้วไหนดี,754,0.06950354609929078,2546,0,0.29615082482325217,0.06950354609929085,1.5978004713275726,0.11543734576364131
xxc,745,-0.037467700258397935,9215,-0.030918077610684616,0.08084644601193706,-0.00675858510657676,1.4928920238741183,-0.0630999039718195
xxx,733,0.3424908424908425,38927,0.08458945139450001,0.018830117913016673,0.23778710991956298,8.271585275001927,0.09550164063947363
หน้ากาก n95,727,1.6826568265682658,2837,0.8750826173165895,0.2562566090941135,0.4306872677468404,1.3094818470215017,-0.62688398596167
ตู้เย็นเล็ก,725,0.17886178861788618,6705,0.23937153419593346,0.1081282624906786,-0.04882292670801425,1.0881431767337808,0.07209152907116276
หูฟังไร้สาย,724,0.2209106239460371,12531,0.20316850696111377,0.057776713749900246,0.014746161391586998,1.115393823318171,-0.003360786731404279
shoppy,711,0.3465909090909091,1523,0.4532442748091603,0.46684175968483255,-0.07338984062555955,1.6618516086671042,-0.16187657079734102
เครื่องวัดออกซิเจนปลายนิ้ว,710,0.9943820224719101,12436,1.4171039844509232,0.05709231264072049,-0.174887785009812,4.583547764554519,0.6137927358265242
rtx 2060,698,0.8177083333333334,3423,0.6853766617429837,0.20391469471224072,0.0785175650014606,1.387671633070406,0.14011370823867084
ตู้เย็น,688,0.15436241610738255,17865,0.15541327124563445,0.038511055135740276,-0.0009095058576910295,2.0129303106633083,0.025297419405589435
ชอปปิ้ง,679,-0.16276202219482122,1498,0.23801652892561984,0.4532710280373832,-0.3237263330145084,1.0133511348464619,-0.008767281193032423
nintendo switch,678,-0.24414715719063546,16182,-0.2659227000544366,0.041898405635891735,0.029663828135560004,2.4713261648745517,-0.26034358439582067
the handmaiden,670,0.42250530785562634,10571,0.3316956412194507,0.06338094787626525,0.06819100688278878,6.998675621984675,-0.06684325040204335
ฝันว่าตัดผม,664,-0.11819389110225764,3532,-0.1107754279959718,0.18799546998867497,-0.00834262045814478,1.0342582106455267,-0.061226322512789755
ชื่อแมว,642,0.20676691729323307,2141,0.12211740041928722,0.2998598785614199,0.07543730882554357,1.9976646426903315,0.012900382209182121
ตุ๊กตายาง,636,0.019230769230769232,6015,0.08829383028767866,0.1057356608478803,-0.06345993989385511,3.739817123857024,0.09934949705125902
สายคล้องแมส,629,1.0095846645367412,6125,0.570110228146629,0.10269387755102041,0.2799003716502575,1.0003265306122449,0.00032653061224485747
สเก็ตบอร์ด,606,-0.26634382566585957,34641,0.012628255722178374,0.017493721312895123,-0.2754930842701825,3.4658352818914,0.21008337662379611
วิตามินซี,587,1.1345454545454545,34277,0.48026429435135604,0.01712518598477113,0.44200293332131013,4.076902879481868,0.09392650062320704
หนังใหม่,580,-0.3192488262910798,109534,0.11962465885046662,0.005295159493855789,-0.39198268962041577,8.926881151058119,-0.05712601956606527
ของขวัญวันเกิด,567,0.49604221635883905,6780,0.3025936599423631,0.0836283185840708,0.14851028556751578,1.86047197640118,-0.17069824122907068
ps5 ราคา,566,0.1574642126789366,4548,0.19432773109243698,0.12445030782761654,-0.03086549650804942,2.057387862796834,0.01602035812869189
sex toy,565,0.0071301247771836,5620,-0.03668152211175866,0.10053380782918149,0.04547991956407275,7.126868327402136,-0.06654057244703743
