Query,Site Clicks,% Δ,Site Impressions,% Δ,Site CTR,% Δ,Average Position,% Δ
ของไหว้แม่ย่านางรถ,1044,31.625,24023,34.53698224852071,0.04345835241227157,-0.08194230529076307,7.078924364151022,-0.07973983266036716
ช๊อปปี้,1018,-0.3926014319809069,2017,-0.3878603945371775,0.5047099652949926,-0.00774502646360358,1.061477441745166,0.01851140668326217
หนังโป้,1009,0.9001883239171374,14898,0.17085822068531908,0.0677272117062693,0.6229021501893987,1.3379648274936233,-0.7315165912563065
ผลไม้ไหว้แม่ย่านางรถ,992,9.442105263157895,9789,10.966992665036674,0.10133823679640412,-0.1274244452688571,3.354173051384207,0.43649924399595874
โทรศัพท์,987,0.14104046242774568,46794,-0.03013596418504394,0.0210924477497115,0.17649528211338777,1.0096379877762107,-0.0023549267996514777
nintendo switch,897,0.5438898450946644,22044,0.4704822893736242,0.040691344583560156,0.049920734341050495,3.3411812738160043,0.20004907939469363
จักรยานไฟฟ้า,881,0.05889423076923077,15048,0.015864443394315805,0.058545986177565124,0.042357804384942535,1.929093567251462,-0.01700505635720998
ถือศีลอด 2564,881,0.578853046594982,7143,3.909278350515464,0.12333753324933501,-0.6783940665272716,4.446871062578749,3.1689416211675776
ไหว้เจ้าที่ใช้ธูปกี่ดอก,862,1.7717041800643087,11309,0.9334929047700462,0.0762224776726501,0.43352177462164126,3.2387478999027324,-0.25104034845486567
หนังใหม่,852,0.4973637961335677,97831,0.14532065840923458,0.00870889595322546,0.30737517492550487,9.467735175966718,0.010972104413998563
สเก็ตบอร์ด,826,-0.3546875,34209,-0.03506149159426831,0.024145692653979946,-0.3312397687742992,2.8641293226928584,0.8446899343817166
ps5,823,0.5706106870229007,8154,0.1197473221642406,0.10093205788570027,0.4026474151215063,2.6702232033357864,-0.26466114409517844
ชอปปิ้ง,811,-0.25046210720887246,1210,-0.3017888055395268,0.6702479338842975,0.07351170926200319,1.0223140495867769,-0.0018759166569666046
กรุ่นรักกลิ่นบุปผา,811,0.4278169014084507,10117,0.24978381717109327,0.0801621033903331,0.14245110377596193,2.1501433231195017,-0.5080855156246682
xxc,774,0.26885245901639343,9509,0.05095048629531388,0.0813965716689452,0.20733800075510858,1.5934377957724262,-0.0960295205875659
ฝันว่าตัดผม,753,0.22042139384116693,3972,0.2759396080950851,0.18957703927492447,-0.04351163166476523,1.1017119838872105,0.05559538499257814
xnx,745,3.027027027027027,20504,1.0956663941128373,0.03633437378072571,0.921597367949299,3.255364806866953,-0.5368279488353799
พัดลมไอเย็น,745,0.2627118644067797,10220,-0.17984110424524516,0.07289628180039139,0.5395941822282662,1.3643835616438356,-0.3403079480970109
เซิร์ฟสเก็ต,729,0.6681922196796338,20574,0.026954177897574125,0.03543307086614173,0.6244076469846302,2.960970156508214,-0.47946581155242574
ถือศีลอด 2564 วันไหน,722,1.7662835249042146,3133,3.297668038408779,0.23045004787743376,-0.35632917661820224,1.5847430577721036,0.5782482091746768
กระชายขาว,713,31.40909090909091,12132,19.98961937716263,0.058770194526871086,0.5440532925696131,7.657517309594461,-0.23292114299036426
ใส่แหวนนิ้วไหนดี,705,-0.22356828193832598,2546,-0.2187787664927892,0.27690494893951295,-0.006130805513356024,1.4324430479183032,-0.07776928226674237
รอมฎอน 2564,702,0.7817258883248731,10152,3.208955223880597,0.06914893617021277,-0.5766821471001188,4.1744483845547675,0.3708331522867391
ไหว้เจ้าที่กลางบ้าน,687,0.27695167286245354,7088,1.908494050061551,0.09692437923250564,-0.5609577840341705,4.870485327313769,1.469185093127451
สารสกัดกระชายขาว,684,2.196261682242991,2179,2.3420245398773005,0.3139054612207435,-0.043615136841473126,3.9646626893070214,-0.3642498589699513
เครื่องวัดอุณหภูมิ,660,0.42548596112311016,8442,0.2808375056895767,0.07818052594171997,0.11293271378375018,1.003553660270078,-0.004901132113722894
ผลไม้ไหว้รถ,657,,9020,,0.07283813747228382,,3.358869179600887,
แอร์เคลื่อนที่,648,-0.3558648111332008,10325,-0.22333383481269745,0.06276029055690073,-0.1706408522232223,2.010169491525424,0.005954949005796452
หน้ากากอนามัย,645,0.3723404255319149,13418,0.414505587181109,0.048069757042778355,-0.029809116366392628,1.0138619764495453,-0.4357254923374567
แผนที่ประเทศไทย,635,0.829971181556196,140484,-0.08854747878441856,0.004520087696819566,1.00775261350488,1.8547734973377752,-0.07426493393542406
xxxx,634,3.2837837837837838,13305,2.426474375482874,0.047651258925216086,0.25020161085550036,15.674032318677188,-0.39862984908579013
shopp,631,0.09169550173010381,1570,-0.10693970420932879,0.40191082802547773,0.22242082295638385,1.170063694267516,0.011293989440655319
ตุ๊กตายาง,624,1.2608695652173914,5527,-0.007719928186714542,0.11290030758096617,1.2784591058912378,3.4018454857969966,-0.489058127116374
ตู้เย็นเล็ก,615,-0.025356576862123614,5410,0.06748224151539069,0.11367837338262476,-0.08696989492370472,1.0149722735674676,-0.0027375954943920453
